elementId,actId,text,sectionNumber,sectionName,regId
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:545245,Carbon Tax Act,"1 the director may issue a registered marine service certificate under section 21 of the act to a person if a the person owns or operates a commercial marine service that provides marine transportation of passengers ,  goods or both to members of the public for a fee on ships owned or operated by the person ,  and b during the person ' s fiscal year that ended immediately before the date the person applied for the registered marine certificate ,  at least 50 %  of all the marine trips of the ships owned or operated by the person that began or ended in british columbia did not include an intraprovincial leg .  2 the director may issue a registered marine service certificate under section 21 of the act to a person if a the person owns or operates a commercial marine service that provides marine services ,  other than the marine transportation of passengers ,  goods or both to members of the public ,  for a fee using ships owned or operated by the person ,  and b during the person ' s fiscal year that ended immediately before the date the person applied for the registered marine certificate ,  at least 50 %  of all the marine trips of the ships owned or operated by the person that began or ended in british columbia included an interjurisdictional leg .  3 subsection  ( 2 )  does not apply to a person who is eligible",6,Registered marine service certificate,Carbon Tax Regulation
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:545423,Carbon Tax Act,"1 for the purposes of section 39 of the act ,  if the director is satisfied that a person has paid tax for fuel that was used by a ship for a marine trip that a transported passengers ,  goods or both on the ship ,  b was provided to members of the public for a fee ,  and c did not include an intraprovincial leg ,  the director must pay the person a refund of the tax paid on the fuel used on that marine trip .  2 for the purposes of section 39 of the act ,  if the director is satisfied that a person has paid tax for fuel that was used by a ship for a marine trip that a transported passengers ,  goods or both on the ship ,  b was provided to members of the public for a fee ,  and c included an intraprovincial leg ,  the director must pay the person a refund of the tax paid on the fuel used on the legs of the marine trip that are interjurisdictional legs .   [ am .  b . c .  regs .  258 / 2009 ,  s .  6 ;  24 / 2012 ,  s .  3 ;  246 / 2013 ,  app .  1 ,  s .  6 .  ]",28,Refund — interjurisdictional marine travel or transportation,Carbon Tax Regulation
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:545573,Commercial Transport Act,"in this division :  authorized person means a the insurance corporation of british columbia ,  b a person who is designated in writing by the corporation by name or position ,  or c a person who is employed in the ministry of a minister who is responsible in whole or in part for administration of the act ;  interjurisdictional movement means ,  in respect to a commercial vehicle ,  one or more of the following :  a the delivery of goods or persons from a place outside british columbia to a place in british columbia ;  b the picking up of goods or persons from a place in british columbia for delivery outside british columbia ;  c the transportation of goods or persons through british columbia ;  intrajurisdictional movement means ,  in respect to a commercial vehicle ,  travel within british columbia ,  including the picking up and delivery of goods or persons .   [ en .  b . c .  reg .  131 / 2006 .  ]",6.01,Interpretation,Commercial Transport Regulations
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:545575,Commercial Transport Act,"1 an authorized person may issue a permit under this division for a commercial vehicle registered or licensed outside british columbia a on application in the form required by the insurance corporation of british columbia ,  b on receipt of proof of financial responsibility that is satisfactory to the corporation ,  c on payment of the fee referred to in section 6 . 03 ,  and d if the commercial vehicle is required to have a licence or temporary operating permit under the passenger transportation act ,  with the approval of the registrar of passenger transportation appointed under that act .  2 if a permit under this division is issued in respect of a commercial vehicle ,  the commercial vehicle may be operated for one or more of the following purposes ,  as applicable :  a interjurisdictional movement ;  b intrajurisdictional movement of a commercial vehicle with a licensed gross vehicle weight of less than 11 794 kg ;  b . 1 repealed .   [ b . c .  reg .  206 / 2009 ,  s .  2 .  ]  c movement into and within british columbia of a commercial vehicle the load of which is specialized equipment that is permanently attached to the commercial vehicle or that is intrinsic to the purpose of the commercial vehicle .   [ en .  b . c .  reg .  131 / 2006 ;  am .  b . c .  regs .  313 / 2008 ,",6.02,Non-resident commercial vehicle permit,Commercial Transport Regulations
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:533971,Pharmaceutical Services Act,"scheme delivered through a provincial or territorial government of canada ,  other than the government of british columbia ,  that provides to individuals financial assistance in respect of drugs ,  devices ,  substances or related services ;  public insurer means any of the following :  a the first nations health authority ;  b the government of canada ;  c a provincial or territorial government of canada ;  site means a a pharmacy ,  b a site at which a person is authorized under an enactment of a province or territory ,  other than british columbia ,  to store drugs or substances ,  or to dispense or sell drugs or substances to the public ,  or c a site through which devices are provided ;  site identification code means a unique code issued by the minister in respect of a specific site .   [ am .  b . c .  regs .  73 / 2015 ,  app .  6 ;  211 / 2015 ,  s .  29 ;  181 / 2019 ,  sch .  s .  1 ;  327 / 2021 ,  s .  1 ;  76 / 2022 ,  s .  4 .  ]",1,Definitions,Provider Regulation
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:504151,Carbon Tax Act,"if the director is satisfied that an amount has been paid as tax for fuel that was used for interjurisdictional air or marine travel or transport in the prescribed circumstances and in accordance with the prescribed rules ,  the director must pay a refund ,  from the consolidated revenue fund ,  in accordance with the regulations .",39,Refund for interjurisdictional air or marine travel or transport,
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:511163,Health Professions Act,"1 the minister may ,  by order ,  refer to an advisory panel any matter related to the following :  a professional scopes of practice ,  including the services or restricted activities that may ,  or must not ,  be provided or performed by registrants or other persons ;  b the use of professional or occupational titles and other work related descriptive terms by registrants or other persons ;  c the interjurisdictional ,  interprofessional ,  multidisciplinary or collaborative practice of registrants or other persons ;  d the education ,  training ,  technical achievement ,  competencies ,  credentials and other substantive or procedural entry - to - practice requirements for health professions ,  including the conditions or requirements for registration as a member of or certification by a college ;  e the confidentiality and disclosure of information under this act ,  including disclosure by colleges of information related to matters under part 3 ;  f the patient relations programs and quality assurance programs of colleges ;  g health human resource planning and management ;  h labour mobility of health professionals within the province or between the province and other provinces or foreign jurisdictions ;  i the duties ,  objects and powers of colleges ;  j the operation or administration of this act or the regulation of health professions generally .  2 an order under subsection  ( 1 )  may establish terms of",6.3,Referral to advisory panel,
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:529388,Provincial Sales Tax Act,"this division does not apply in relation to the following :  a tangible personal property that is subject to tax or is exempt from tax under section 37 ,  99  ( 3 )  or  ( 4 )  or 101  ( 2 )  ;  b tangible personal property ,  if tax is paid under division 5  [ property brought into british columbia from outside canada ]  in respect of the tangible personal property ;  c a taxable conveyance ,  as defined in section 59 ,  that is subject to tax or is exempt from tax under division 6  [ conveyances used interjurisdictionally ]  ;  d subject to section 49  ( 9 . 1 )  ,  a multijurisdictional vehicle or a vehicle that is to be immediately licensed in british columbia as described in section 69  ( 1 )   ( a )   [ tax if multijurisdictional vehicle licensed ]  .  e  [ repealed 2013 - 1 - 169 .  ]",48,Application of this Division,
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:529476,Provincial Sales Tax Act,"total usage where purchase price   =   the purchase price of the taxable conveyance ;  bc usage   =   whichever of the following is applicable :   ( a )  in relation to an interjurisdictional aircraft ,  the number of hours the aircraft will fly in the airspace over british columbia in eligible flights during the period beginning on the date of purchase of the aircraft and ending on the third anniversary of that date ;   ( b )  in relation to an aircraft part ,  the number of hours the aircraft in which the part is or is to be installed will fly in the airspace over british columbia in eligible flights during ,   ( i )  in the case of a prescribed part ,  the period beginning on the date of purchase of the prescribed part and ending on the third anniversary of that date ,  and  ( ii )  in any other case ,  the year after the date of purchase of the part ;   ( c )  in relation to interjurisdictional railway rolling stock or an interjurisdictional conveyance ,  the distance the conveyance will travel ,  during the year after its date of purchase ,  in british columbia or ,  if the conveyance is a vessel ,  in the waters of british columbia ;   ( d )  in relation to a conveyance part ,  the distance the conveyance in which the part is",60,Tax if conveyance purchased in British Columbia for interjurisdictional use,
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:529480,Provincial Sales Tax Act,"stock or an interjurisdictional conveyance ,  the total distance the conveyance will travel during the year after its date of purchase ;   ( d )  in relation to a conveyance part ,  the total distance the conveyance in which the part is or is to be installed will travel during the year after the date of purchase of the part .  3 tax payable under subsection  ( 2 )  must be paid on or before the last day of the month after the month in which the person purchased the conveyance or the part for a conveyance .  4 despite subsection  ( 3 )  ,  tax payable under subsection  ( 2 )  by a registrant must be paid on or before the prescribed date and in the prescribed manner .",60,Tax if conveyance purchased in British Columbia for interjurisdictional use,
